Hedysarum xizangensis	西藏岩黄芪
Lachesis mutus	巨蝮
Eleutherodactylus loki Shannon et Werler	洛基卵齿蟾
Metynnis orinocensis	奥里诺科河银板鱼
Gracilinanus marica	拉丁鼠(鼠儿);北方敏负鼠
Puccinia pugiensis	普吉柄锈菌
Scytalopus panamensis	淡喉竄鸟
Trimeresurus albolabris Gray	白唇竹叶青
Agrostis sozanensis	台湾剪股颖
Euryxanthops lividus	蓝邻扇蟹
Coniogramme pubescens	骨齿凤丫蕨
Puccinellia hauptiana	鹤甫碱茅
Teucrium grandifolium	大花香科科
Coleosporium asterum	紫莞鞘锈
Gnathopogon mantschuricus	东北颌须鮈
Bulbophyllum melanoglossum var. rubropunctatum	红斑石豆兰
Rehmannia solanifolia	茄叶地黄
Artemisia anethoides	莳萝蒿
Ptilinopus rivoli	白胸果鸠
Grallaricula flavirostris	赭胸蚁八色鸫
Hyla eucnemis	滕雨蛙
Elymus altissimus	高株披碱草
Capparis viburnifolia	荚蒾叶山柑
Athanas polymorphus	多态角鼓虾
Pomacentrus violascens	紫雀鲷
Lychnis senno	剪红纱花
Marchantia polymorpha	地钱
Pseudohapalocarcinus ransoni	兰森伪珊隐蟹
Aerodramus pelewensis	帕劳金丝燕
Corydalis rostellata	具喙黄堇
Nesopteris grandis	大球杆毛蕨
Tetraodon duboisi	杜波依斯鲀
Oenanthe thomsonii	窄叶水芹;多裂叶水芹
Asteronyx loveni	衣笠蔓蛇尾
Chirocentrus nudus Swainson	长颌宝刀鱼
Hercostomus digitatus	指突寡长足虻
Pieris canidia canidia	东方菜粉蝶;缘点白粉蝶;台湾纹白蝶
Cephalaeschna risi	微刺晏蜓
Paeonia emodi	多花芍药
Muscicapa ferruginea	棕尾鹟;红尾鹟;棕尾褐鶲, 棕尾鹟;红褐鹟;棕尾褐鹟
Adenomera andreae	安德股腺蟾
Cyperus glomeratus	头状穗莎草
Atractaspis  coalescens Perret	邦氏穴蝰
Calymperes levyanum var. levyanum	拟花叶藓原变种
Mesapia peloria subsp. leechi	妹粉蝶四川亚种
Botia pulchra	美丽沙鳅
Akodon kempi	凯氏原鼠
Periergos magna	皮纡舟蛾
Caranx delicatissimus	美长吻鲹
Prolabeo batesi	贝茨氏原野鲮
Turdus naumanni	斑点鸫;斑鸫;红尾鸫
Dendrobium longicornu	长距石斛
Bufo fernendezae	费尔南蟾蜍
Sacura margaritacea	珠樱鮨;珠斑鮨
Schoenoplectus subulatus	钻苞水葱
Saxifraga isophylla	林芝虎耳草
Satarupa nymphalis subsp. khamensis	蛱型飒弄蝶四川亚种
Periploca floribunda	多花青蛇藤
Clematis teretipes	柱梗铁线莲
Amblypharyngodon microlepis	印度钝齿鱼
Aethomys granti	卡鲁蹊鼠
Eidolon dupreanum	马岛黄毛果蝠
Elagatis bipinnulatus	纺锤鰤
Broodesia decaryi	马加变色龙
Vaccinium papillatum	粉果越桔
Gobiobotia abbreviata Fang et Wang	短身鳅鮀
Lysimachia excisa	短柱珍珠菜
Agave cantula	马盖麻
Strychnos lucida	亮叶马钱
Acrocephalus atypha	环礁苇莺
Bambusa amplexicaulis	抱秆黄竹
Argentina semifasciatus Kishinouye	半纹水珍鱼
Euonymus stenophyllus	狭叶卫矛
Nectarinia minima	小花蜜鸟
Primula reflexa	嫩黄报春
Polystichum meiguense	美姑耳蕨
Arborophila torqueola subsp. torqueola	环颈山鹧鸪
Silene bilingua	双舌蝇子草
Porphyra ishigecola	铁钉紫菜
Vitis erythrophylla	红叶葡萄
Porphyra tenera	甘紫菜
Rhyothemis severini	赛琳蜻蜓
Pramoys minor	小柔毛鼠
Kalophrynus robinsoni	罗氏细狭口蛙
Indocalamus tonchunensis	同春箬竹
Chloea mororana Jordan et Snyder	肉犁克丽鰕虎鱼
Cyrtodactylus medogensis	墨脱弓趾虎
