Amborella trichopoda	无油樟;互叶梅
Oryza australiensis	澳洲稻
Oryza barthii	短舌稻
Oryza brachyantha	短花药稻
Oryza eichingeri	紧穗稻;根状茎稻
Oryza glaberrima	光稃稻;非洲栽培稻
Oryza grandiglumis	大护颖稻
Oryza latifolia	阔叶稻;高杆稻
Oryza longiglumis	长护颖稻
Oryza longistaminata	长雄蕊稻
Oryza meridionalis	南方野生稻
Oryza meyeriana	疣粒稻
Oryza minuta	小粒稻
Oryza neocaledonica	新喀里多尼亚野稻
Oryza officinalis	药用稻;亚洲稻;马篮普稻
Oryza punctata	斑点稻
Oryza ridleyi	马来稻
Oryza rufipogon	野生稻;尼瓦拉稻;南方稻;展颖稻
Oryza sativa	水稻;亚洲栽培稻
Oryza schlechteri	极短粒稻
Solanum betaceum	树番茄
Solanum carolinense	北美刺龙葵
Solanum diphyllum	玛瑙珠
Solanum dulcamara	欧白英
Solanum elaeagnifolium	银叶茄
Solanum erianthum	山烟草
Solanum incanum	黄水茄
Solanum lycopersicum	番茄
Solanum mammosum	五指茄
Solanum mauritianum	野烟树
Solanum melongena	茄子
Solanum muricatum	香瓜茄
Solanum nigrum	龙葵
Solanum pseudocapsicum	玉珊瑚
Solanum seaforthianum	悬星花
Solanum sisymbriifolium	拟刺茄
Solanum torvum	水茄
Solanum tuberosum	马铃薯
